cmd,count
netscape,2164
generic,1138
ls,972
sh,863
cat,603
date,461
tcpostio,426
rm,401
nawk,337
true,314
ksh,305
ln,272
lp,245
launchef,244
LOCK,235
hostname,230
maple.sy,228
post,212
expr,205
rlogin,191
sed,173
FIFO,171
virtex,157
uname,151
grep,151
find,147
gettxt,140
id,127
getopt,126
xterm,122
gcc,118
awk,118
getpgrp,118
file,118
tcppost,117
gethost,114
emacs-20,113
download,107
more,103
sendmail,99
MediaMai,93
dvips,91
cpp,91
tr,90
a.out,82
endsessi,77
gs,67
rmdir,66
tellwm,64
UNLOCK,61
ld_,57
cc1,52
netstat,51
lks,44
as,41
dirname,40
xmaplev5,39
xsetroot,38
env,38
xclock,38
reaper,38
xrdb,38
ex,38
wait4wm,36
userenv,36
mapleTTY,36
ppost,36
xconfirm,36
xhost,36
4Dwm,36
mkpts,36
xdm,35
toolches,35
finger,34
xprop,34
ld,31
nm,31
metamail,30
which,30
mkdir,25
driver,22
ftp,21
cfe,20
make,20
ghostvie,20
ugen,18
as1,18
telnet,18
ispell,14
mp,13
hpost,12
acroread,12
bc,12
postprin,12
pine,12
uopt,11
red,11
elm,11
xset,11
cut,10
lpq,9
Mail,9
sleep,8
touch,8
cal,7
rsh,7
man,6
faces,6
chmod,5
mail,5
ps,4
showps,4
csh,4
tail,4
mplotcha,3
unpack,3
ul,3
od,3
z,3
mailx,3
whoami,3
mailp,3
test,3
xwsh,3
xman,3
col,3
lpr,3
basename,2
shownona,2
stty,2
nslookup,2
appdefpa,2
sgo,2
mywsh,2
echo,2
tektroni,1
mc,1
uuname,1
tbl,1
news,1
xdvi,1
tput,1
passwd,1
xdvi.rea,1
neqn,1
expreser,1
lpdsend,1
xmag,1
what,1
9term,1
lc,1
last,1
nroff,1
