cmd,count
generic,1432
cat,732
ls,697
sh,654
expr,653
egrep,628
date,603
netscape,470
hostname,456
tcpostio,452
true,415
tcsh,401
rm,387
sendmail,367
java,314
lp,309
sed,292
FIFO,284
ln,267
grep,248
nawk,224
find,222
dirname,219
MediaMai,213
LOCK,209
getopt,204
id,203
stty,194
launchef,166
virtex,160
basename,158
.java_wr,158
tail,135
post,122
awk,116
download,113
gethost,113
getpgrp,105
tcppost,104
file,104
more,97
rmdir,84
UNLOCK,83
mkdir,75
telnet,71
driver,65
make,62
javac,62
fec,59
mail,59
mkpts,57
dvipost,54
ppost,48
finger,45
hpost,43
gs,42
xterm,38
dvips,34
ghostvie,33
emacs-20,32
man,27
col,24
netstat,21
bc,19
cut,17
ps,17
bibtex,16
postprin,16
tset,16
less,14
tput,14
cpp,13
uname,13
xdvi,13
xrdb,13
xdvi.rea,13
frm,12
xinitrem,11
Xremote,11
touch,11
mapleTTY,9
ul,9
pine,8
neqn,8
tbl,8
diff,8
maple.sy,8
gettxt,8
nroff,8
xsetroot,7
wait4wm,7
env,7
kill,7
userenv,7
sleep,7
reaper,7
xhost,7
acroread,6
rsh,6
ld_,6
tr,6
be,5
unpack,5
4Dwm,5
gnuplot,5
xclock,4
tellwm,4
gnuplot_,4
endsessi,4
toolches,4
xdm,4
xwsh,3
dc,3
lpr,3
compress,3
whois,3
ispell,2
rlogin,2
xconfirm,2
metamail,2
xprop,2
ssh,2
faces,2
hinv,2
w,1
xauth,1
rbnull,1
pwd,1
Mail,1
cdc,1
tar,1
co,1
Sqpe,1
9term,1
su,1
mimencod,1
gzip,1
ftp,1
