cmd,count
sh,2497
more,1009
generic,901
csh,850
cat,643
sendmail,640
rm,605
ls,601
MediaMai,551
date,372
toolches,369
tcpostio,343
mail,253
expr,238
launchef,206
popper,188
ln,185
sed,169
lp,157
post,156
LOCK,152
true,143
egrep,138
FIFO,137
gethost,121
hostname,111
grep,100
nawk,97
download,97
find,94
xterm,85
awk,82
getopt,80
pq,80
gs,80
file,80
id,79
mimencod,79
ps,77
getpgrp,76
tcppost,74
lmstat,72
netscape,68
java,65
xrdb,55
rmdir,55
xsetroot,54
env,54
cpp,54
kill,54
man,54
wait4wm,54
userenv,54
reaper,54
xhost,54
col,54
4Dwm,53
mkpts,51
dirname,50
mp,50
tr,46
emacs-20,42
rlogin,42
UNLOCK,41
pwd,38
basename,36
xdm,35
finger,33
.java_wr,32
ul,27
tbl,26
neqn,26
nroff,26
uname,24
tcsh,22
ghostvie,21
metamail,20
stty,20
unpack,19
acroread,18
showps,18
mkdir,17
touch,17
javac,17
whoami,15
xconfirm,14
false,14
virtex,13
gawk,12
arch,12
matlab,12
MakeTeXP,12
matlab_l,12
dvips,10
telnet,10
sleep,8
tail,8
gettxt,8
ksh,7
lpq,7
uudecode,7
netstat,6
spell,6
sort,6
test,6
ftp,5
convert,5
chmod,4
gsftopk,4
dvipost,4
shownona,4
endsessi,4
tput,3
drf,3
xdvi.rea,3
xdvi,3
detex,3
sprog,3
tektroni,2
webmagic,2
cal,2
whois,2
xloadima,2
lpdsend,2
sgihelp,2
hpost,2
faces,2
talk,2
ping,1
ex,1
hexbin,1
Xsession,1
quota,1
co,1
lpr,1
richtext,1
jot,1
gzip,1
