cmd,count
sh,1643
ksh,1346
sendmail,967
uname,874
ls,802
echo,764
movemail,568
generic,391
pwd,382
sed,371
ln,371
gs,319
cat,311
nawk,274
netscape,274
rm,240
whoami,237
virtex,227
ghostvie,222
dvips,218
driver,163
grep,153
date,150
MediaMai,142
true,136
tcpostio,124
xgvis,122
cfe,117
find,108
ugen,99
as1,98
lp,90
tset,89
stty,88
FIFO,75
make,73
Sqpe,70
LOCK,69
xwsh,60
mywsh,58
hostname,57
getopt,55
id,55
expr,54
post,54
gzip,54
wc,53
mkdir,51
more,48
touch,48
ld_,48
emacs-20,46
egrep,46
dev.moti,43
chmod,42
xgobi,42
pq,42
PLATFORM,40
Slmhelpe,40
Slmclien,40
acroread,39
tail,37
getpgrp,35
tcppost,34
xrdb,34
xmodmap,34
.xsessio,33
xdpyinfo,33
metamail,33
sort,32
less,31
netstat,31
download,31
gethost,31
rlogin,30
awk,28
file,28
help,27
tbl,24
UNLOCK,24
rmdir,24
nroff,22
ftp,21
xv,20
cpp,18
xcalenda,18
reaper,17
xhost,17
xset,17
xclock,16
ispell,16
xdm,16
xprop,16
4Dwm,16
diff,14
neqn,12
troff,12
dpost,12
spell,12
eqn,12
basename,12
led,11
man,11
ps,10
rsh,10
col,10
mkpts,10
telnet,9
finger,9
convert,9
compress,8
xpaint,8
tput,7
ul,5
tcsh,5
df,5
deroff,4
which,4
xdiff,4
cut,3
dev.post,3
du,3
ppost,3
enscript,3
rcp,3
uudecode,2
head,2
jot,2
shar,2
sgihelp,2
unzip,1
top,1
scheme,1
postprin,1
xmkmf,1
whois,1
imake,1
mail,1
xdvi.rea,1
uuencode,1
bc,1
xdvi,1
sleep,1
frm,1
who,1
unpack,1
whereis,1
xemacs-1,1
hpost,1
ps2pdf,1
ex,1
