cmd,count
maple.sy,1353
nawk,1114
sh,938
tcsh,893
gordon,627
ls,564
uname,544
less,503
cat,499
mapleTTY,479
Mail,475
hostname,456
stty,443
tset,404
mail,403
w3c,311
expr,308
netscape,307
magma.ex,257
xterm,239
grep,220
tput,186
ex,178
engine,176
gettxt,152
euphony3,134
generic,129
sendmail,129
virtex,122
rm,118
aacdec,113
gs,91
ln,68
sed,64
date,57
xdvi.rea,56
xdvi,56
emacs-20,54
tcpostio,52
netstat,48
gcc,46
driver,45
finger,44
twm,40
make,39
xdm,39
xbiff,39
gzip,39
xsetroot,38
tellwm,38
wait4wm,38
endsessi,38
reaper,38
xhost,38
xset,38
xprop,38
xmodmap,38
purify.s,34
du,34
dirname,34
find,31
man,30
pq,30
ld_,30
FIFO,25
true,25
fmt,24
lp,23
ghostvie,23
LOCK,22
sort,19
edg_prel,19
ps,18
post,18
fecc,18
cpp,17
ksh,17
euphony,17
window_t,16
basename,16
cc1,16
col,16
nm_elf,16
be,15
file,15
awk,14
as,13
aiffplay,13
download,13
gethost,13
id,12
unpack,12
getopt,12
dvips,11
mkdir,11
tcppost,11
rmdir,11
UNLOCK,11
getpgrp,11
as1,9
ugen,9
catalog,9
tbl,8
dbx,8
neqn,8
dbxpcs,8
nroff,8
diff,7
dvipost,6
cal,6
bc,6
aupanel,6
bison,6
cfe,6
telnet,5
gp,5
edgcpfe,5
ld,5
spec,5
touch,5
sum,5
flex,5
gdb,5
tr,4
hpost,4
mkpts,4
wc,3
nm,3
ppost,3
tar,3
ispell,3
c++filt,3
tail,3
strings,2
pg,2
xlsfonts,2
mplottek,2
launchef,2
kludgepl,2
c++patch,2
patch,2
bash,1
lc,1
top,1
wdefine,1
testFont,1
chmod,1
uudecode,1
df,1
dict,1
nslookup,1
whereis,1
tty,1
MediaMai,1
postprin,1
cmp,1
pr,1
mc,1
