cmd,count
gcc,2211
ksh,1175
uname,1100
nawk,1072
cpp,1037
cc1,1007
as,989
rm,907
ds_ar,749
sh,562
date,399
Archie,307
ld_,297
make,270
ld,174
nm,168
time,167
cat,165
btcreat,160
m4,159
btbuild,138
v10sort,138
Reducyr,104
Tracy,99
sendmail,96
ls,84
R,84
ln,77
Stat_Ind,66
Sizup,63
sed,49
netscape,47
grep,44
ex,34
pwd,32
xupdate,31
cut,30
generic,30
stty,25
mailx,22
head,21
mesg,21
ar,20
rlogin,20
expr,20
wc,19
awk,19
test,19
touch,17
more,16
hostname,16
launchef,16
who,14
[,13
true,13
echo,13
x3270,12
engine,11
popper,11
sort,11
5836.exe,10
rsh,9
driver,9
lc,8
mc,8
purify.s,7
MediaMai,7
tset,7
backtalk,7
5650.exe,7
dirname,7
id,7
gethost,7
DC-prn,7
8708.exe,7
find,6
FIFO,6
tcpostio,6
lp,6
fecc,6
tr,6
rcp,6
ed,5
chmod,5
xterm,5
payphone,5
getopt,5
cxwsh,5
rshd,5
gettxt,4
netstat,4
post,4
tail,4
.xsessio,3
yacc,3
mkdir,3
LOCK,3
download,3
spell,3
ipeek,3
xrdb,3
cmp,3
gzip,3
xsetroot,2
be,2
comma.te,2
ping,2
ugen,2
tellwm,2
window_t,2
reaper,2
gre,2
sleep,2
getpgrp,2
mimencod,2
cfe,2
pq,2
xhost,2
field,2
as1,2
endsessi,2
8117.exe,2
file,2
less,1
OLI.sh,1
edg_prel,1
env,1
ypcat,1
nm_elf,1
7105.exe,1
Squirrel,1
xdm,1
toolches,1
sfstdgen,1
4Dwm,1
xargs,1
userenv,1
xprop,1
dig,1
xwsh,1
appdefpa,1
xconfirm,1
tcppost,1
finger,1
catdoc,1
UNLOCK,1
basename,1
dbxpcs,1
wait4wm,1
dbx,1
diff,1
xclock,1
xmodmap,1
rmdir,1
deroff,1
mkpts,1
