cmd,count
sh,3575
tail,2486
fgrep,2404
rshd,792
grep,515
cat,496
nawk,443
sed,284
pr,267
rsh,232
expr,209
ls,189
echo,189
sort,173
date,141
mailx,103
test,103
netscape,103
rm,96
uname,88
find,82
vim,80
awk,74
compress,72
generic,71
do.priso,71
mc,59
lc,55
bindkey,54
prison_r,54
launchef,48
gcc,44
sendmail,42
stty,40
tset,40
hostname,39
wc,36
gettxt,33
cxwsh,31
xwsh,31
cpp,30
ksh,30
prison_f,28
tcpostio,28
emacs-20,26
.xinitrc,24
[,24
cc1,22
tr,22
as,20
ld,20
ld_,20
true,20
nm,20
a.out,19
egrep,18
xterm,17
ln,17
xset,16
rcp,16
LOCK,15
more,14
arch,14
rlogin,14
lp,14
tty,14
FIFO,13
MediaMai,12
fmt,12
tellwm,12
post,12
xprop,12
endsessi,12
scamp_pr,12
pq,12
gre,11
gs,11
xdpyinfo,10
netstat,10
ghostvie,10
reaper,9
top,9
xrdb,9
field,9
maple.sy,9
calendar,8
tcppost,8
xdm,8
telnet,8
mimencod,8
4Dwm,8
download,7
gethost,7
trn,7
getpgrp,7
getopt,7
rmdir,7
id,7
file,7
mkdir,6
tel,6
calprog,6
UNLOCK,6
scampdet,6
xv,6
worklist,6
scamp_fi,6
xhost,6
metamail,6
.xsessio,5
xclock,5
make,5
xdvi,5
doc2ps,5
xdvi.rea,5
man,5
uniq,5
xmodmap,5
cut,4
tbl,4
toolches,4
pwd,4
xconfirm,4
neqn,4
sleep,4
faces,4
whoami,4
which,4
xbiff,4
java,4
nroff,4
du,3
fx,3
ul,3
chmod,3
eptofax,3
co,3
mapleTTY,3
ppost,3
col,3
showdoc,3
basename,2
cpeek,2
prison_p,2
showps,2
dirname,2
cal,2
.java_wr,2
show_fil,2
ipeek,2
seecalls,2
Sqpe,1
env,1
w,1
pacdec,1
aiffplay,1
postprin,1
whois,1
bc,1
prisoncs,1
last,1
touch,1
unpack,1
hpost,1
prefix,1
demo,1
cpio,1
kludgepl,1
