cmd,count
sh,4418
date,3650
tcsh,846
wc,477
gcc,446
driver,374
cfe,354
ugen,331
as1,331
uopt,255
nawk,241
sendmail,230
uname,228
cpp,223
cc1,199
less,198
as,188
ls,146
make,141
ld_,128
head,113
efm,113
rm,113
stty,82
MediaMai,77
grep,76
sed,69
cat,63
a.out,45
ln,43
man,33
nm,32
ld,32
tail,32
col,30
mkdir,28
rsh,27
gdb,25
rmdir,25
ftp,25
xmkmf,24
ddd,24
imake,24
emacs-20,23
hostname,22
mkpts,20
mail,19
true,19
ps,17
frm,15
xrdb,14
unpack,13
generic,12
find,12
tr,12
id,12
more,11
lp,11
getopt,10
twoprint,9
FIFO,9
finger,9
tput,9
egrep,8
movemail,8
dev.post,7
whereis,7
neqn,6
tbl,6
awk,6
nroff,6
PLATFORM,5
tset,5
xterm,5
ht,5
Slmhelpe,5
doc2ps,5
top,5
Sqpe,5
Slmclien,5
whois,4
ghostvie,4
tar,4
gs,4
metamail,4
field,4
cut,3
format.d,3
sort,3
rlogin,2
xbiff,2
touch,2
sgihelp,2
uniq,2
ex,2
dvips,1
gv,1
mailbox,1
help,1
chmod,1
ar,1
expr,1
dev.moti,1
pwd,1
xlbiff,1
resize,1
virtex,1
test,1
who,1
compress,1
zip,1
xemacs-1,1
mimencod,1
echo,1
