cmd,count
netscape,2551
sh,1218
ls,597
launchef,418
generic,416
cat,362
sed,319
driver,305
ksh,304
more,299
rm,270
virtex,268
sendmail,264
make,215
cfe,184
date,180
col,180
gettxt,172
hostname,168
tcpostio,160
ln,152
ld_,145
gcc,136
mc,134
lc,134
ugen,129
as1,129
tbl,116
neqn,116
pwd,116
nawk,116
nroff,116
emacs-20,115
tcsh,115
true,103
MediaMai,102
tr,100
tput,94
grep,92
lp,89
ssh,87
unpack,87
cpp,86
endsessi,86
tellwm,84
xterm,82
LOCK,82
FIFO,82
find,81
rootless,74
post,72
uname,72
compress,72
pcst,69
xauth,69
bdftopcf,68
xwsh,61
expr,58
netstat,57
mkpts,56
mail,55
rmdir,54
mkdir,52
finger,51
xclock,50
man,49
calendar,48
getopt,48
id,48
env,46
xset,44
ex,44
wait4wm,43
xconfirm,43
userenv,43
reaper,43
cc1,43
xrdb,43
xsetroot,43
xhost,43
xdm,42
csh,42
xprop,42
4Dwm,42
file,42
tcppost,41
getpgrp,41
awk,41
toolches,41
ps,40
download,40
gethost,40
as,39
UNLOCK,39
sort,38
metamail,36
gs,35
xdvi.rea,28
xdvi,28
ld,25
nm,25
configur,24
xman,23
ul,22
Mail,20
pcst1,19
ghostvie,18
dvips,16
ispell,15
ppost,15
fig2dev,14
rlogin,13
acroread,12
engine,12
pr,12
xmh,11
mailbox,11
psnr,11
who,10
enc,10
sdec,10
faces,10
gengraph,9
join,9
movemail,8
basename,8
top,8
talk,8
diff,7
pcst.pur,7
gdb,7
dirname,6
lpq,6
purify.s,6
du,6
showps,6
egrep,6
states,5
p,5
nscal,5
bc,5
hpost,5
rtslave,5
xcalc,5
xv,5
touch,5
xcalenda,5
postprin,5
mailp,5
enscript,4
sgihelp,4
ar,4
dbx,4
stty,4
mailx,4
dbxpcs,4
pg,3
echo,3
rmail,3
false,3
tar,3
spell,3
jot,3
cdec,3
xfs,3
agrep,3
shownona,3
test,3
mp,3
xloadima,3
ftp,3
richtext,3
tail,3
mimencod,2
which,2
lpr,2
9term,2
xlsfonts,2
xfig,2
yppasswd,2
orig,2
hype,2
eqn,2
quota,1
samterm,1
cmp,1
webmagic,1
perl,1
w,1
cal,1
passwd,1
gimp,1
sam,1
mesg,1
telnet,1
expreser,1
deroff,1
capture,1
chmod,1
mkfontdi,1
whoami,1
clock,1
windows,1
xbiff,1
gzip,1
