cmd,count
sh,3236
engine,2264
expr,1619
driver,816
dirname,808
purify.s,807
fecc,602
be,516
ex,398
make,320
nm_elf,225
ln,224
edg_prel,215
ld_,213
basename,204
ls,191
ksh,142
xrt_auth,124
lc,108
mc,108
hostname,101
window_t,97
scatter_,93
rm,84
grep,82
netscape,79
launchef,76
graph_te,65
rtslave,56
sendmail,54
cat,52
echo,52
virtex,49
generic,46
stty,42
tset,38
sed,33
nawk,30
awk,29
true,27
uname,25
tput,25
dbx,24
dbxpcs,24
pg,23
date,22
more,21
MakeTeXP,20
tty,20
MediaMai,18
panel_te,17
lp,16
gettxt,16
env,15
id,15
getopt,15
xwsh,14
gs,14
FIFO,13
find,12
egrep,10
mkdir,10
cpp,9
xrdb,9
xemacs-1,9
tail,9
xrtld,8
tellwm,8
netstat,8
endsessi,8
tcpostio,8
movemail,8
xsetroot,7
wait4wm,7
dvips,7
userenv,7
reaper,7
xhost,7
mkpts,7
xterm,6
man,6
toolches,6
xdm,6
ghostvie,6
which,6
col,6
4Dwm,6
frm,6
bibtex,5
mimencod,4
xclock,4
gsftopk,4
LOCK,4
xlsfonts,4
xconfirm,4
xprop,4
testHist,3
whereis,3
ppost,3
rmdir,3
less,3
diff,3
testFont,2
Main,2
unpack,2
UNLOCK,2
post,2
bc,2
tcppost,2
xdvi.rea,2
xdvi,2
finger,2
download,2
gethost,2
getpgrp,2
file,2
lpq,1
ping,1
dc,1
emacs-20,1
scroll_t,1
wc,1
hilow,1
cal,1
postprin,1
stripper,1
polar,1
ps,1
text_are,1
drill_do,1
touch,1
nr,1
flow,1
hpost,1
faces,1
ftp,1
