cmd,count
netscape,2164
generic,1138
ls,972
sh,863
cat,603
date,461
tcpostio,426
rm,401
nawk,337
true,314
ksh,305
ln,272
lp,245
launchef,244
LOCK,235
hostname,230
maple.sy,228
post,212
expr,205
rlogin,191
sed,173
FIFO,171
virtex,157
uname,151
grep,151
find,147
gettxt,140
id,127
getopt,126
xterm,122
awk,118
file,118
gcc,118
getpgrp,118
tcppost,117
gethost,114
emacs-20,113
download,107
more,103
sendmail,99
MediaMai,93
dvips,91
cpp,91
tr,90
a.out,82
endsessi,77
gs,67
rmdir,66
tellwm,64
UNLOCK,61
ld_,57
cc1,52
netstat,51
lks,44
as,41
dirname,40
xmaplev5,39
ex,38
env,38
xrdb,38
reaper,38
xclock,38
xsetroot,38
mkpts,36
xconfirm,36
mapleTTY,36
4Dwm,36
xhost,36
userenv,36
ppost,36
wait4wm,36
xdm,35
toolches,35
finger,34
xprop,34
ld,31
nm,31
which,30
metamail,30
mkdir,25
driver,22
ftp,21
make,20
cfe,20
ghostvie,20
ugen,18
telnet,18
as1,18
ispell,14
mp,13
postprin,12
pine,12
bc,12
acroread,12
hpost,12
elm,11
xset,11
uopt,11
red,11
cut,10
lpq,9
Mail,9
touch,8
sleep,8
cal,7
rsh,7
faces,6
man,6
mail,5
chmod,5
tail,4
ps,4
showps,4
csh,4
test,3
lpr,3
ul,3
col,3
z,3
mailx,3
mplotcha,3
xman,3
xwsh,3
unpack,3
mailp,3
whoami,3
od,3
nslookup,2
sgo,2
mywsh,2
appdefpa,2
stty,2
shownona,2
basename,2
echo,2
xmag,1
expreser,1
what,1
passwd,1
lpdsend,1
tput,1
lc,1
news,1
uuname,1
neqn,1
xdvi,1
last,1
tbl,1
9term,1
xdvi.rea,1
mc,1
tektroni,1
nroff,1
