cmd,count
sh,3236
engine,2264
expr,1619
driver,816
dirname,808
purify.s,807
fecc,602
be,516
ex,398
make,320
nm_elf,225
ln,224
edg_prel,215
ld_,213
basename,204
ls,191
ksh,142
xrt_auth,124
lc,108
mc,108
hostname,101
window_t,97
scatter_,93
rm,84
grep,82
netscape,79
launchef,76
graph_te,65
rtslave,56
sendmail,54
cat,52
echo,52
virtex,49
generic,46
stty,42
tset,38
sed,33
nawk,30
awk,29
true,27
uname,25
tput,25
dbxpcs,24
dbx,24
pg,23
date,22
more,21
tty,20
MakeTeXP,20
MediaMai,18
panel_te,17
gettxt,16
lp,16
getopt,15
env,15
id,15
xwsh,14
gs,14
FIFO,13
find,12
mkdir,10
egrep,10
cpp,9
xemacs-1,9
xrdb,9
tail,9
netstat,8
tcpostio,8
tellwm,8
movemail,8
endsessi,8
xrtld,8
dvips,7
mkpts,7
reaper,7
wait4wm,7
xhost,7
userenv,7
xsetroot,7
which,6
frm,6
4Dwm,6
col,6
xdm,6
toolches,6
man,6
ghostvie,6
xterm,6
bibtex,5
xlsfonts,4
xconfirm,4
gsftopk,4
LOCK,4
xprop,4
mimencod,4
xclock,4
testHist,3
whereis,3
ppost,3
rmdir,3
diff,3
less,3
download,2
finger,2
UNLOCK,2
post,2
tcppost,2
xdvi.rea,2
bc,2
gethost,2
file,2
unpack,2
testFont,2
getpgrp,2
Main,2
xdvi,2
ftp,1
ping,1
cal,1
ps,1
nr,1
hilow,1
touch,1
postprin,1
drill_do,1
faces,1
emacs-20,1
text_are,1
scroll_t,1
flow,1
wc,1
dc,1
hpost,1
stripper,1
lpq,1
polar,1
