cmd,count
movemail,1150
netscape,1103
ls,868
csh,734
generic,674
sendmail,583
sh,567
cat,514
launchef,486
hostname,462
mail,317
date,284
tcsh,251
rm,248
rshd,233
tset,232
rlogin,232
rdistd,231
stty,227
finger,227
true,194
gettxt,184
ln,181
emacs-20,174
tcpostio,166
tput,158
virtex,154
grep,148
gs,147
lp,130
sed,124
FIFO,121
LOCK,121
more,121
post,102
expr,100
resize,99
nawk,99
ghostvie,96
cpp,95
xrdb,95
endsessi,92
find,92
tellwm,90
pwd,87
netstat,73
gethost,71
getopt,69
id,69
download,68
xwsh,68
xhost,60
getpgrp,60
awk,57
file,57
xterm,53
mkdir,51
man,50
rmdir,49
reaper,48
UNLOCK,48
env,48
userenv,48
toolches,48
kill,48
wait4wm,48
xsetroot,48
mkpts,47
4Dwm,47
ps,47
xdm,47
xconfirm,46
xprop,46
tcppost,42
xclock,37
lmstat,36
dvips,29
ul,28
col,28
faces,28
unpack,28
xdvi,28
xdvi.rea,28
pq,22
maple.sy,21
uname,20
tektroni,19
lpdsend,19
xbiff,19
ppost,18
chmod,15
touch,14
acroread,11
telnet,11
gzip,10
compress,10
tail,9
lks,9
tar,9
sleep,7
dirname,7
xmaplev5,7
nslookup,7
arch,6
postprin,6
bc,6
matlab,6
gawk,6
hpost,6
matlab_l,6
ex,5
aacdec,5
ping,4
aiffplay,4
egrep,4
MakeTeXP,4
ispell,4
uudecode,3
MediaMai,3
uuencode,3
bibtex,3
soundpla,3
which,2
gftopk,2
whereis,2
xcalc,2
df,2
virmf,2
xfig,2
pr,2
ssh,2
lpr,1
xauth,1
head,1
nscal,1
xv,1
whoami,1
f2ps,1
