cmd,count
sendmail,2389
mailx,1125
cat,1102
sh,1098
grep,533
sed,486
generic,466
ls,393
xupdate,392
test,347
netscape,310
cgiparse,310
echo,301
pwd,287
date,284
nawk,272
touch,269
ex,269
rm,222
pq,210
hostname,182
tcpostio,166
ln,151
x3270,148
mesg,137
true,125
chmod,119
stty,116
awk,114
sort,106
tail,91
FIFO,91
find,88
lp,87
egrep,83
head,79
ppost,69
Mail,68
expr,67
wc,66
LOCK,65
cut,64
MakeTeXP,62
register,62
getopt,54
id,54
gethost,51
virtex,49
mkdir,48
download,47
gs,44
uname,38
gre,36
more,36
file,34
getpgrp,33
tcppost,32
cxwsh,31
OLI.sh,29
[,29
tel,29
xargs,29
rmdir,28
UNLOCK,27
rlogin,25
MediaMai,24
xwsh,24
hpost,24
java,24
bc,23
postprin,23
lec.awk,22
dvips,20
gsftopk,18
post,18
mimencod,18
lc,16
mc,16
launchef,16
ksh,14
basename,14
seecalls,13
.java_wr,12
spell,12
xrdb,12
dirname,12
whois,11
gzip,11
cpp,11
z,11
ftp,10
summary.,10
tput,10
mkpts,9
catdoc,9
ghostvie,9
.xsessio,9
rcp,9
bibtex,8
hoc,8
join,8
print_de,6
drf,6
print_do,6
acroread,6
xterm,6
sleep,6
findobj,6
sprog,6
man,6
netstat,6
ping,5
tty,5
tset,5
4Dwm,4
faces,4
reaper,4
crontab,4
xemacs-1,4
xsetroot,4
gettxt,4
col,4
movemail,4
xhost,4
p,3
PLATFORM,3
apanel,3
CC,3
unpack,3
telnet,3
appdefpa,3
eqn,3
Sqpe,3
dpost,3
xmodmap,3
xcalenda,3
ul,3
Slmclien,3
xclock,3
Slmhelpe,3
troff,3
payphone,2
paste,2
frm,2
chat.awk,2
aiffplay,2
rsh,2
soundpla,2
lec2.awk,2
endsessi,2
augment_,2
%backup%,2
ps,2
tellwm,2
aacdec,2
samterm,2
dvipost,2
xdm,2
kill,2
xdvi,2
xdvi.rea,2
sam,2
xconfirm,1
xprop,1
env,1
userenv,1
scamp_to,1
print_sc,1
exrecove,1
wait4wm,1
see_scam,1
rvplayer,1
xfontsel,1
scheme,1
expreser,1
finger,1
xv,1
uniq,1
dev.X11,1
doctype,1
diff,1
ed,1
