cmd,count
netscape,3425
sh,1090
cat,609
generic,580
ls,492
csh,454
sendmail,435
egrep,423
launchef,402
expr,368
gettxt,334
rm,300
hostname,207
aacdec,203
aiffplay,202
date,194
gcc,188
MediaMai,186
true,185
nawk,174
cpp,161
java,156
endsessi,148
uname,146
acroread,143
sed,134
lp,123
basename,114
tcpostio,112
grep,111
FIFO,105
find,102
ln,98
dirname,98
.java_wr,89
mail,87
getopt,86
id,86
cc1,82
as,80
xconfirm,79
LOCK,74
ksh,74
xrdb,72
post,70
make,68
gs,65
tellwm,61
netstat,51
tail,50
file,47
xwsh,44
ps,41
more,39
xterm,39
printf,38
ld_,37
getpgrp,37
xhost,37
reaper,36
env,36
userenv,36
wait4wm,36
xsetroot,36
kill,36
emacs-20,36
4Dwm,35
awk,35
xprop,35
mimencod,35
toolches,35
mkpts,34
tcppost,34
xdm,34
rmdir,31
UNLOCK,31
download,31
ghostvie,31
gethost,28
virtex,26
mkdir,25
ld,25
ds_ar,23
xcal,21
runnit,20
nm,20
dvips,17
tr,16
gzip,13
which,12
popper,12
man,12
javac,12
Sqpe,11
rlogin,10
PLATFORM,10
xcalc,10
less,10
Slmclien,10
mp,10
Slmhelpe,10
hexbin,10
head,9
jre,9
wc,9
help,9
tar,9
ico,8
pwd,7
dc,7
xv,7
m4,7
7956.exe,7
Archie,6
time,6
ftp,5
touch,5
nslookup,5
rsh,5
metamail,4
Tracy,4
last,4
cal,4
ul,4
finger,4
col,4
top,4
munpack,4
dev.moti,3
Reducyr,3
unpack,3
tektroni,3
mysqladm,3
lpdsend,3
x11perf,3
R,3
ping,2
.maker_w,2
imgview,2
xclock,2
telnet,2
Sizup,2
ex,2
.wrapper,2
moviepla,2
binhex,2
showps,2
du,2
xdvi,2
macunpac,2
xdvi.rea,2
sgihelp,2
mysql,1
xgvis,1
jar,1
gimp,1
tput,1
gre,1
unzip,1
yacc,1
false,1
webmagic,1
mysql_in,1
whoami,1
maker5X.,1
fmarch,1
ar,1
shownona,1
twm,1
sort,1
pftp,1
8117.exe,1
uudecode,1
compress,1
mpeg_pla,1
sleep,1
Squirrel,1
plaid,1
soundpla,1
