cmd,count
sh,2868
grep,2544
expr,1040
egrep,852
nawk,696
sendmail,536
ls,459
elm,455
java,426
rm,405
vim,372
dirname,357
ksh,351
diff,233
hostname,232
basename,215
.java_wr,213
make,179
javac,144
maple.sy,128
netscape,128
generic,124
cat,123
fmt,108
more,94
ln,83
uname,80
tcsh,77
frm,72
stty,72
wc,71
tset,63
date,57
tcpostio,56
virtex,50
mapleTTY,46
less,42
Mail,42
sed,38
mail,35
ntrim,34
w3c,32
test,28
FIFO,22
magma.ex,22
pwd,21
true,20
post,20
LOCK,20
lp,20
ex,19
makexgvi,19
showcal,18
col,16
xterm,16
tput,15
gethost,14
download,14
man,14
find,13
aacdec,13
xgobi,13
acroread,12
driver,11
awk,11
getopt,10
mkdir,10
w,10
tcppost,10
file,10
id,10
getpgrp,10
gs,10
crypt,9
j11,9
pq,8
ul,8
finger,8
rmdir,8
UNLOCK,8
cfe,8
ugen,8
as1,8
nroff,6
xdpyinfo,6
unpack,6
tail,6
tbl,6
neqn,6
sort,6
xmodmap,5
reaper,5
enscript,5
head,5
lpr,5
xhost,5
netstat,5
xsetroot,5
euphony3,5
cut,5
lp2col,5
gettxt,4
dot,4
tel,4
xcal,4
xdemineu,4
neato,4
xdvi,4
xdvi.rea,4
vipw,3
MediaMai,3
xgvis,3
ld_,3
.xsessio,3
xdm,3
ispell,3
wait4wm,2
newalias,2
mkpts,2
rcp,2
xset,2
aiffplay,2
vtwm,2
Slmclien,2
touch,2
ntrim.in,2
emacs-20,2
xprop,2
PLATFORM,2
Slmhelpe,2
mimencod,2
xclock,2
rlogin,2
Sqpe,2
shar,2
led,2
ghostvie,2
gzip,1
nslookup,1
endsessi,1
interest,1
xbiff,1
gre,1
ps,1
whereis,1
define,1
dict,1
wdefine,1
twm,1
tellwm,1
co,1
dvips,1
xload,1
chmod,1
xwininfo,1
lps,1
du,1
webmagic,1
xev,1
mbackup,1
