cmd,count
sendmail,1493
sh,1210
generic,1208
ls,831
cat,760
MediaMai,517
date,505
netscape,489
rm,476
tcpostio,472
true,424
ln,283
sed,246
lp,240
LOCK,237
bash,235
lmstat,222
expr,209
FIFO,205
hostname,199
launchef,190
nawk,158
more,149
ppost,147
uname,137
post,136
gethost,129
awk,125
grep,125
id,124
download,123
getopt,121
find,120
getpgrp,119
file,117
tcppost,116
telnet,95
driver,90
stty,89
cfe,88
gs,86
uopt,84
ugen,84
as1,84
virtex,83
rmdir,83
UNLOCK,83
pwd,76
xterm,74
less,64
mimencod,56
postprin,49
bc,49
hpost,49
xdvi,44
xdvi.rea,44
csh,40
xemacs-1,39
gawk,38
matlab_l,38
arch,37
matlab,36
uudecode,34
mailx,32
egrep,31
gettxt,29
showps,22
toolches,21
col,20
xv,19
mkdir,18
acroread,18
ftp,17
ex,17
echo,17
man,16
mc,16
lc,16
mail,15
cpp,14
xrdb,14
endsessi,14
dvips,13
ps,11
touch,11
finger,11
ul,10
fig2dev,10
maple.sy,10
xhost,10
xconfirm,8
rlogin,8
tellwm,8
make,8
gzip,7
fm,7
mkpts,7
reaper,7
env,7
userenv,7
wait4wm,7
xsetroot,7
netstat,7
4Dwm,6
tr,6
xprop,6
desktopM,6
xdm,6
xfig,5
unpack,5
tail,5
nedit,5
nroff,4
gp,4
lks,4
tbl,4
xwsh,4
Sqpe,4
neqn,4
talk,4
ghostvie,4
nslookup,3
du,3
sleep,3
dirname,3
xclock,3
basename,3
lpr,3
tektroni,2
metamail,2
a.out,2
xmaplev5,2
lpdsend,2
ld_,2
faces,2
pr,2
sgihelp,2
imgview,2
compress,2
whoami,2
ping,1
xmaplev4,1
top,1
tar,1
nscal,1
false,1
webmagic,1
printf,1
local.Sq,1
