cmd,count
sh,1413
generic,1088
date,845
ls,692
cat,682
tcsh,462
sed,452
ex,446
hostname,414
tcpostio,412
rm,405
Mail,399
launchef,362
netscape,334
ln,315
more,287
true,236
lp,224
grep,222
wc,220
LOCK,217
FIFO,185
post,182
tput,181
nawk,177
gettxt,173
sendmail,167
stty,153
find,148
mail,134
gethost,119
ksh,118
expr,117
getopt,115
id,115
awk,111
getpgrp,109
tcppost,108
file,108
download,107
xterm,95
endsessi,86
telnet,85
tellwm,78
elm,75
rmdir,73
UNLOCK,72
xwsh,68
ppost,51
xrdb,50
pq,48
sort,47
xdm,46
help.sor,45
cpp,45
help.fin,45
xconfirm,43
xhost,42
userenv,42
reaper,42
wait4wm,42
xsetroot,42
mkpts,41
4Dwm,40
toolches,40
xprop,39
env,37
sleep,37
resize,36
netstat,34
help.top,33
help,33
uname,28
virtex,27
kill,27
ps,27
rlogin,23
showps,22
gs,22
man,19
ghostvie,19
bc,17
hpost,17
postprin,17
postreve,17
MediaMai,16
PLATFORM,15
xfontsel,15
Slmhelpe,14
Slmclien,13
egrep,13
Sqpe,13
help.key,12
dev.X11,12
ul,11
col,11
shelpMot,11
mkdir,9
xclock,9
gzip,8
tset,8
tail,7
twm,7
rwho,7
xload,7
touch,7
mailx,7
unpack,7
lo,6
tr,6
configur,6
faces,5
chmod,5
less,5
perl,4
format.d,4
finger,3
diff,3
cut,3
dvips,2
lpr,2
nroff,2
ht,2
randseq,2
pwd,2
head,2
xgobi,2
sample,2
tbl,2
neqn,2
xdvi,2
getsampl,2
xdvi.rea,2
unzip,2
whereis,1
init_src,1
driver,1
be,1
expreser,1
ping,1
cmp,1
compress,1
fec,1
xman,1
printf,1
lpq,1
ld_,1
